student_id,department,attendance_percentage,semester_gpa,internal_marks,backlogs,previous_failures,study_hours,lms_usage_hours,assignment_submission_rate,fee_pending,scholarship,family_income_level,distance_from_home,transport_availability,disciplinary_actions,participation_score,dropout_risk
10001,Arts,55.0,7.5,35.06004663255398,3,2,5.0,5.0,70.12358835722094,0,0,Medium,57.08147371800115,0,0,39.233818077332444,1
10002,Commerce,83.79162599346931,7.817925455871816,48.5989261481831,0,0,3.779418208480134,51.49750164524541,68.9030324202131,0,0,Medium,71.9465951581991,0,0,38.141696423659084,0
10003,Arts,70.709651508535,7.329878361933102,16.676230431568875,1,0,4.503613853778809,30.67668261286041,100.0,0,0,Medium,37.600267070434704,0,0,48.95308889187447,0
10004,Commerce,58.21120402368962,5.956687326270626,37.30521431288764,0,2,0.8885875067913775,1.2098309234143443,56.55212009638568,1,1,Medium,57.20129257278912,0,1,27.81405582229673,1
10005,Science,60.0,8.055067915568173,39.66836151175877,2,0,1.0,85.1690288731346,48.91449898075649,1,0,Medium,150.0,0,0,31.52950883104977,1
10006,Arts,93.89684358752702,5.802527814058375,35.1962093093531,1,1,2.5849092509112763,34.87527707670228,71.3786837261466,0,1,Low,0.0,1,0,75.29439810233177,0
10007,Arts,83.52890412142156,6.720167076932098,19.931983671558754,1,1,5.22382041649205,36.74958305423377,82.26666416220128,0,0,Medium,3.5667820533868024,0,0,61.86932081754601,0
10008,Arts,100.0,5.771045968185094,19.350733192574882,0,0,2.6243216566475813,60.24578290043401,90.0639064785532,1,0,Medium,76.91858179453789,0,0,65.97927336474442,0
10009,Science,80.12676174321734,7.084988268369459,30.97196752283815,2,1,0.6276211910428291,27.134373148066437,100.0,0,0,Medium,23.93015516308276,0,0,76.210173039723,0
10010,Commerce,100.0,5.659967369515805,30.90177659846292,6,0,0.43543459445384336,60.83427871746612,36.999685491401415,1,1,Medium,28.63725643217518,1,0,12.5057693594214,0
10011,Science,80.13025470620461,9.100837735200663,24.405661753712934,0,1,1.9660013930095945,28.86882993216986,100.0,1,0,Medium,66.78668429697895,0,1,50.39348397280439,0
10012,Arts,85.0,7.0,42.916370135332556,4,1,0.519782948071597,71.58206187449844,63.63140537694758,1,0,Medium,35.693967969050306,0,0,95.79047202979028,0
10013,Commerce,62.64731894494204,7.5,25.992484175079397,2,2,5.0,44.10641899671934,74.43057170314245,0,0,Low,64.8728323466533,1,0,100.0,0
